ticker,title,summary,date,time,url,date_clean
AAPL,"Amazon Expands Satellite, Cloud And Robotics Investments As Valuation Gap Widens","Amazon.com (NasdaqGS:AMZN) plans to acquire Apple’s 20% stake in satellite operator Globalstar as part of an $11.6b satellite communications agreement tied to its Project Leo plans. The company also announced a new multi billion dollar AWS partnership with Pinterest, expanding its cloud reach into a major social media platform. In Europe, Amazon is rolling out a new generation of AI powered warehouse robots aimed at improving fulfillment efficiency and logistics capabilities. Amazon.com,...",2026-06-13,20:08,https://finance.yahoo.com/markets/stocks/articles/amazon-expands-satellite-cloud-robotics-200831338.html,2026-06-13
AAPL,Wall Street’s Top Billionaires Are Changing Their Mind About Apple (AAPL),"We just covered the Top 10 Stock Picks of 10 Famous Billionaires. Apple Inc. (NASDAQ:AAPL) ranks #4 (see Top 5 Stock Picks of 5 Famous Billionaires). Number of Hedge Funds: 170 Top Pick Of: Warren Buffett’s Berkshire Hathaway Apple was once seen as a laggard in the AI race. Now it is looking like a winner, […]",2026-06-13,15:42,https://finance.yahoo.com/markets/stocks/articles/wall-street-top-billionaires-changing-154240546.html,2026-06-13
AAPL,Taiwan Semiconductor (TSM) is This Famous Billionaire’s Biggest AI Stock Holding,We just covered the Top 10 Stock Picks of 10 Famous Billionaires. Taiwan Semiconductor (NYSE:TSM) ranks #3 (see Top 5 Stock Picks of 5 Famous Billionaires). Number of Hedge Funds: 234 Top Pick Of: Philippe Laffont — Coatue Management Taiwan Semiconductor (NYSE:TSM) is the biggest holding of billionaire Philippe Laffont of Coatue Management. Taiwan Semiconductor (NYSE:TSM) […],2026-06-13,15:42,https://finance.yahoo.com/markets/stocks/articles/taiwan-semiconductor-tsm-famous-billionaire-154237082.html,2026-06-13
AAPL,Alphabet Ties Search AI And Mobility Closer To Revenue Potential,"Google is rolling out a national real estate search feature with HouseCanary, directly surfacing MLS broker listings in mobile search across the U.S. Apple is using Google's Gemini models to power its new Siri AI, while also tapping Google Cloud and Nvidia technology for AI infrastructure. Waymo, Alphabet's autonomous driving unit, has launched its first paid subscription for robotaxi services, moving its ride hailing business toward a membership model. For investors tracking Alphabet...",2026-06-14,23:16,https://finance.yahoo.com/markets/stocks/articles/alphabet-ties-search-ai-mobility-231657033.html,2026-06-14
AAPL,Apple's iOS 27 surprise could change the AI narrative,"AI is now the largest battleground in technology. Over the last two years investors have pumped hundreds of billions of dollars into firms promising to lead the next stage of the AI revolution. At Apple (AAPL), that talk has become more and more about the iPhone. Many experts have said AI might ...",2026-06-14,21:12,https://www.thestreet.com/technology/apples-ios-27-surprise-could-change-the-ai-narrative,2026-06-14
AAPL,Indian Pollution Probe Tests Apple Supply Chain And Valuation Gap,"Indian pollution regulators have accused Tata Electronics, a key Apple supplier, of contaminating local groundwater with wastewater. The probe focuses on a facility that plays an important role in producing iPhone components for Apple, listed as NasdaqGS:AAPL. Any regulatory action could affect operations at the plant and create complications for Apple's supply chain in India. For Apple, India has been a focus area for building out iPhone manufacturing capacity outside China, with local...",2026-06-14,19:10,https://finance.yahoo.com/markets/stocks/articles/indian-pollution-probe-tests-apple-191006263.html,2026-06-14
AAPL,TechCrunch Mobility: SpaceX rockets past Tesla,"Welcome back to TechCrunch Mobility, your hub for the future of transportation and now, more than ever, how AI is playing a part.",2026-06-14,16:05,https://finance.yahoo.com/sectors/technology/articles/techcrunch-mobility-spacex-rockets-past-160500362.html,2026-06-14
AAPL,"Given the News Out of WWDC, Was Warren Buffett Right to Sell Apple Stock?",Apple stock is up 50% since Berkshire Hathaway started unloading shares in mid-2023.,2026-06-14,13:05,https://www.fool.com/investing/2026/06/14/after-wwdc-warren-buffett-right-sell-apple-stock/,2026-06-14
AAPL,Goldman Sachs resets Apple stock forecast after WWDC,"Apple has spent years trying to convince investors that its next major growth story will not depend only on a new iPhone. That effort has become more urgent as artificial intelligence reshapes the technology industry, with rivals including Google, Microsoft, OpenAI, and Meta moving faster with ...",2026-06-14,12:03,https://www.thestreet.com/investing/goldman-sachs-resets-apple-stock-forecast-after-wwdc,2026-06-14
AAPL,Meet the Spectacular Vanguard ETF That Could Buy SpaceX Stock as Soon as June 19,The Vanguard Mega Cap Growth ETF owns a concentrated portfolio of America's largest companies.,2026-06-14,10:05,https://www.fool.com/investing/2026/06/14/meet-vanguard-etf-could-buy-spacex-stock-june-19/,2026-06-14
