ticker,title,summary,date,time,url
AAPL,"Trump–Xi meeting, rarnings and Retail Sales in focus Thursday","Market Domination Overtime host Josh Lipton takes a look at the top stories for investors to watch on Thursday, May 15, including updates from President Trump’s meeting with Chinese President Xi Jinping, earnings reports from Viking Holdings (VIK), Klarna (KLAR), Applied Materials (AMAT), and Figma (FIG), and a check-in on the consumer as new U.S. retail sales data is released.",2026-05-13,23:00,https://finance.yahoo.com/video/trump-xi-meeting-rarnings-retail-230000345.html
AAPL,Apple stock notches fresh record as tech rebounds,"Apple stock was on pace for a record close on Wednesday, up nearly 2% to just under $300 per share as tech stocks rebounded from a selloff the previous day.",2026-05-13,17:51,https://finance.yahoo.com/markets/article/apple-stock-notches-fresh-record-as-tech-rebounds-175112036.html
AAPL,"Nvidia's Jensen Huang is a late addition to Trump's China trip, joining Elon Musk, Tim Cook, and others",Nvidia's Jensen Huang joined sixteen other top business executives and President Trump on his trip this week to meet with Chinese leader Xi Jinping.,2026-05-11,20:11,https://finance.yahoo.com/economy/policy/article/nvidias-jensen-huang-is-a-late-addition-to-trumps-china-trip-joining-elon-musk-tim-cook-and-others-201120985.html
AAPL,"Dow Jones Futures Rise, Cisco Soars On AI Orders After Google, Nvidia, Tesla Lead S&P 500, Nasdaq To Highs","The S&P 500 and Nasdaq ran higher, led by Google, Nvidia, Tesla and other titans. Cisco earnings beat while AI chipmaker Cerebras will price its IPO.",2026-05-13,23:06,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-cisco-earnings-google-nvidia-tesla-sp-500-nasdaq-cerebras-ipo-late/?src=A00220&yptr=yahoo
AAPL,"Nasdaq, S&P 500 Hit Fresh Highs as Tech Stocks Rise","The Nasdaq Composite and the S&P 500 reached fresh peaks on Wednesday, buoyed by a rally in technolo",2026-05-13,21:42,https://finance.yahoo.com/markets/stocks/articles/nasdaq-p-500-hit-fresh-214228486.html
AAPL,Micron Tops $900 Billion Market Cap. How the Samsung Strike Could Help the Chip Maker.,"A walkout at rival Samsung could hit about 3% of global memory-chip production, according to estimates.",2026-05-13,21:36,https://www.barrons.com/articles/micron-stock-price-samsung-strike-sandisk-2bd26f87?siteid=yhoof2&yptr=yahoo
AAPL,Nvidia Rally Propels Stocks to New Records,"The latest leg of a blistering  Nvidia  stock rally fueled fresh records for the S&P 500 and Nasdaq Wednesday, after Chief Executive  Jensen Huang  joined a high-stakes China summit that could determine the next phase of the global AI arms race.  Shares of Nvidia rose 2.3%, their sixth consecutive day of gains.  In a sign of the chip maker’s dominance over the market, Nvidia in intraday trading became the first company to reach a market capitalization of $5.5 trillion.",2026-05-13,21:02,https://www.wsj.com/finance/stocks/nvidia-rally-propels-stocks-to-new-records-84148f1d?siteid=yhoof2&yptr=yahoo
AAPL,Wall Street’s Top Chartist Warns US Tech Stocks Now At Highest Concentration Since the 2000 Bubble,"Craig Johnson, Chief Market Technician at Piper Sandler, used his CNBC Morning Call Sheet appearance to flag concerns for self-directed investors riding the AI trade. Introducing Piper Sandler’s report The Bull Market That Few Trust, Johnson said: “The technology sector is now 41% of the investable assets here in the US. Semiconductors are 50% of ... Wall Street’s Top Chartist Warns US Tech Stocks Now At Highest Concentration Since the 2000 Bubble",2026-05-13,20:50,https://247wallst.com/investing/2026/05/13/wall-streets-top-chartist-warns-us-tech-stocks-now-at-highest-concentration-since-the-2000-bubble/
AAPL,"Final Panel Agenda and Closing Registration: 2nd Princeton CorpGov Forum May 21 – Endowments, Activism and Entertainment","Watch Video Highlights from 1st Princeton CorpGov Forum Below, or Click HERE: CorpGov is pleased to announce the agenda for the second Princeton CorpGov Forum to be held Thursday, May 21, 2026 at The Nassau Inn in Princeton, New Jersey. Our roster of speakers features industry leaders and alumni spanning five decades at Princeton, with […]",2026-05-13,20:39,https://finance.yahoo.com/news/final-panel-agenda-closing-registration-203929392.html
AAPL,Big Growth. 'Undemanding' Prices. Are Big Tech Stocks Value Plays These Days?,"Morgan Stanley analysts on Wednesday reiterated their endorsement of hyperscaler stocks, which they argue offer investors exceptional earnings growth at ""undemanding"" prices.",2026-05-13,20:38,https://www.investopedia.com/big-growth-undemanding-prices-are-big-tech-stocks-still-value-plays-these-days-11974158
GOOGL,Apple stock notches fresh record as tech rebounds,"Apple stock was on pace for a record close on Wednesday, up nearly 2% to just under $300 per share as tech stocks rebounded from a selloff the previous day.",2026-05-13,17:51,https://finance.yahoo.com/markets/article/apple-stock-notches-fresh-record-as-tech-rebounds-175112036.html
GOOGL,Anthropic debuts Claude for Small Business as it continues its enterprise software push,Anthropic is entering the small business market.,2026-05-13,16:05,https://finance.yahoo.com/news/anthropic-debuts-claude-for-small-business-as-it-continues-its-enterprise-software-push-160500355.html
GOOGL,Fervo Energy IPO: CEO outlines geothermal future of US grid,"Fervo Energy (FRVO) is making its Nasdaq debut on May 13, following its IPO that raised $1.89 billion. The company aims to deliver carbon-free power by accessing geothermal energy, utilizing drilling techniques from the oil and gas industries. Fervo Energy co-founder and CEO Tim Latimer speaks with Julie Hyman about the provider's geothermal projects and partnership with Google (GOOG, (GOOGL).",2026-05-13,14:57,https://finance.yahoo.com/video/fervo-energy-ipo-ceo-outlines-geothermal-future-of-us-grid-145719923.html
GOOGL,"Dow Jones Futures Rise, Cisco Soars On AI Orders After Google, Nvidia, Tesla Lead S&P 500, Nasdaq To Highs","The S&P 500 and Nasdaq ran higher, led by Google, Nvidia, Tesla and other titans. Cisco earnings beat while AI chipmaker Cerebras will price its IPO.",2026-05-13,23:06,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-cisco-earnings-google-nvidia-tesla-sp-500-nasdaq-cerebras-ipo-late/?src=A00220&yptr=yahoo
GOOGL,Micron Tops $900 Billion Market Cap. How the Samsung Strike Could Help the Chip Maker.,"A walkout at rival Samsung could hit about 3% of global memory-chip production, according to estimates.",2026-05-13,21:36,https://www.barrons.com/articles/micron-stock-price-samsung-strike-sandisk-2bd26f87?siteid=yhoof2&yptr=yahoo
GOOGL,Alphabet Inc. (GOOGL): Chris Rokos Is Loading Up on This Tech Stock,"We just covered the Chris Rokos Stock Portfolio: Top 10 Stock Picks and Alphabet Inc. (NASDAQ:GOOGL) ranks 1st on this list. Alphabet Inc. (NASDAQ:GOOGL) has consistently featured in the 13F portfolio of Rokos Capital Management since the second quarter of 2024. Back then, this position comprised just under 160,000 shares. The fund has steadily increased […]",2026-05-13,21:18,https://finance.yahoo.com/news/alphabet-inc-googl-chris-rokos-211829595.html
GOOGL,Amazon Puts Alexa Inside the Shopping Search Bar in AI Push,"(Bloomberg) -- Artificial intelligence algorithms are coming to some of the most valuable real estate in retail: the Amazon.com Inc. search bar.Most Read from BloombergAmbani’s Cola War With Coke, Pepsi Spurs Fridge Bonanza in IndiaNvidia’s CEO Joins Trump in China With AI in the SpotlightMamdani Scraps Property Tax Hike, Counts Second-Home RevenueTrump Lands in China for Xi Trade Summit With Iran War in LimboQueries typed into Amazon’s website and mobile app will soon reply, depending on the co",2026-05-13,21:13,https://finance.yahoo.com/sectors/technology/articles/amazon-puts-alexa-inside-shopping-130000568.html
GOOGL,"Stocks to Watch Recap: Nvidia, Walmart, Micron, Samsung","↗️ Nvidia (NVDA): Shares in the chip maker advanced 2.3%. CEO Jensen Huang at the last minute joined President Trump on his trip to China, where chip-sale restrictions may be among the topics the president discusses with China's Xi Jinping.",2026-05-13,20:57,https://www.wsj.com/livecoverage/stock-market-today-dow-sp-500-nasdaq-05-13-2026/card/stocks-to-watch-wednesday-nvidia-walmart-micron-samsung-cjmvEKA85Qj64XvhyuO6?siteid=yhoof2&yptr=yahoo
